Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-03-05,Coming 2 America,2021,https://boxd.it/2DjUiZ,1,,Leslie Jones rapes Eddie Murphy and nobody addresses it,,2022-03-04
2022-03-07,Your Name.,2016,https://boxd.it/2DNkHp,2.5,,We did it! We saved the town by using terrorism!,,2022-03-06
2022-03-07,Hancock,2008,https://boxd.it/2DOsnT,1.5,,Produced by Will “I want to be a superhero” Smith,,2022-03-07
2022-03-08,"tick, tick...BOOM!",2021,https://boxd.it/2DZBAp,3.5,,It’s funny cause he could barely pay his _rent_,,2022-03-08
2022-03-09,The Raid,2011,https://boxd.it/2E9Qg5,3,,This was fun,,2022-03-09
2022-03-11,Attica,2021,https://boxd.it/2EltcX,3,,Holy hell - Pretty mediocre throughout but what an ending,,2022-03-09
2022-03-11,Affairs of the Art,2021,https://boxd.it/2EnbAB,3,,"It's so nice to see styles of animation like this

but also what on earth did I just watch",,
2022-03-11,Radhe Shyam,2022,https://boxd.it/2EqEf9,1.5,,This movie cranks every dial up to eleven,saw in theatres,2022-03-10
2022-03-12,The Sorcerer's Apprentice,2010,https://boxd.it/2EuKy5,1.5,,Horny bards? More like horny sorcerers!,,2022-03-12
2022-03-12,Turning Red,2022,https://boxd.it/2ED4WH,2.5,,Mai is a furry this movie is a metaphor,,2022-03-11
2022-03-13,Four Good Days,2020,https://boxd.it/2ERPYX,2.5,,Okay but did everyone have to be this dumb,,2022-03-12
2022-03-14,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/2Fa4BP,3,,Harry Potter and The School of Unimaginable Safety Issues,,2022-03-14
2022-03-15,Parallel Mothers,2021,https://boxd.it/2Fkv6z,2.5,,Girlbossing sugar mommy gatekeeps maternity,,2022-03-15
2022-03-15,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/2Flv4v,2.5,,Harry Potter and the Society of Racist Wizards and Slavery,,2022-03-15
2022-03-17,Love on a Leash,2011,https://boxd.it/2FENRN,1,,"Starting Alvin Flang, voiced by Gustavo from Big Time Rush",,2022-03-17
2022-03-19,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/2FQP5P,3.5,,Harry Potter and the overpowered macguffin (best movie in series),,2022-03-18
2022-03-20,X,2022,https://boxd.it/2GaPav,2.5,,Hot grannies in your area come to ruin your porno,saw in theatres,2022-03-19
2022-03-21,The Eyes of Tammy Faye,2021,https://boxd.it/2Gq42L,3.5,,Hallelujah amen,,2022-03-20
2022-03-22,CODA,2021,https://boxd.it/2GzBGH,3.5,,Apple really wants us to believe they're a streaming service,,2022-03-12
2022-03-23,42,2013,https://boxd.it/2GOc6J,2.5,,The 41 prequels were better,,2022-03-23
2022-03-24,West Side Story,2021,https://boxd.it/2GVFT5,3.5,,I don't even like the original and this still slapped,saw in theatres,2022-03-23
2022-03-24,Drive My Car,2021,https://boxd.it/2GY4cJ,3,,It takes an hour to get to the opening credits,saw in theatres,2022-03-23
2022-03-27,Luca,2021,https://boxd.it/2HoJLn,2.5,,There is no heterosexual explanation for this,,2022-03-26
2022-03-27,The Tragedy of Macbeth,2021,https://boxd.it/2HxblD,3,,Somebody had a short render distance,,2022-03-27
